GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.api,FedoraOcflMappingNotFoundException,4,4,0,0,2,2,1,1,1,1
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl,RepositoryInitializer,76,0,2,0,24,0,4,0,3,0
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,ReindexResourcePersister,31,10,4,0,7,4,4,2,2,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,OcflPersistentStorageSession.State,0,122,0,0,0,14,0,2,0,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,FedoraToOcflObjectIndexMetrics,33,173,0,0,12,16,6,7,6,7
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,UpdateNonRdfSourcePersister,15,48,3,1,4,12,2,3,0,3
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,DbFedoraToOcflObjectIndex,77,190,3,3,19,38,6,9,4,8
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,OcflPersistentStorageUtils,63,101,2,4,16,29,7,10,5,9
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,CreateRdfSourcePersister,14,67,2,2,2,16,2,3,0,3
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,UpdateRdfSourcePersister,29,10,0,0,7,3,1,2,1,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,FedoraOcflMapping,50,15,10,0,9,6,8,3,3,3
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,OcflPersistentStorageSessionMetrics,30,177,0,0,5,25,5,11,5,11
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,ReindexWorker,141,0,12,0,48,0,12,0,6,0
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,IndexBuilderImpl,166,7,12,0,38,2,12,2,6,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,CreateVersionPersister,71,10,4,0,14,3,3,2,1,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,OcflPersistenceConfig,103,63,11,3,24,15,8,6,1,6
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,AbstractRdfSourcePersister,46,103,6,6,8,28,6,6,0,6
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,OcflPersistentSessionManager,15,77,2,4,3,17,3,6,1,5
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,OcflPersistentStorageSession,343,474,24,20,70,113,27,25,7,23
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,CreateNonRdfSourcePersister,0,62,0,0,0,12,0,3,0,3
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,AbstractNonRdfSourcePersister,23,108,5,9,5,33,4,8,0,5
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,PurgeResourcePersister,48,10,0,0,10,3,1,2,1,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,ResourceHeadersAdapter,315,324,8,8,90,63,49,7,43,5
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,ReindexService,458,10,22,0,115,3,30,2,19,2
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,FcrepoOcflObjectSessionWrapper,153,289,0,0,33,39,21,26,21,26
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,ReindexManager,292,0,12,0,66,0,20,0,14,0
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,DeleteResourcePersister,20,61,1,1,4,16,1,3,0,3
Fedora Repository OCFL Persistence Impl,org.fcrepo.persistence.ocfl.impl,AbstractPersister,16,148,2,10,4,39,2,10,0,6
