GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository OCFL Persistence Impl/fcrepo-persistence-api,org.fcrepo.persistence.api,CommitOption,24,0,0,0,3,0,1,0,1,0
Fedora Repository OCFL Persistence Impl/fcrepo-persistence-api,org.fcrepo.persistence.api.exceptions,PersistentStorageException,9,0,0,0,4,0,2,0,2,0
Fedora Repository OCFL Persistence Impl/fcrepo-persistence-api,org.fcrepo.persistence.api.exceptions,PersistentSessionClosedException,9,0,0,0,4,0,2,0,2,0
Fedora Repository OCFL Persistence Impl/fcrepo-persistence-api,org.fcrepo.persistence.api.exceptions,PersistentItemConflictException,4,0,0,0,2,0,1,0,1,0
Fedora Repository OCFL Persistence Impl/fcrepo-persistence-api,org.fcrepo.persistence.api.exceptions,PersistentItemNotFoundException,9,0,0,0,4,0,2,0,2,0
Fedora Repository OCFL Persistence Impl/fcrepo-persistence-common,org.fcrepo.persistence.common,ResourceHeadersImpl,199,0,2,0,67,0,45,0,44,0
Fedora Repository OCFL Persistence Impl/fcrepo-persistence-common,org.fcrepo.persistence.common,MultiDigestInputStreamWrapper,247,0,22,0,61,0,21,0,10,0
Fedora Repository OCFL Persistence Impl/fcrepo-persistence-common,org.fcrepo.persistence.common,ResourceHeaderUtils,115,0,6,0,47,0,12,0,9,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,DatabaseConfig.new Converter() {...},10,0,0,0,2,0,2,0,2,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,ServerManagedPropsMode,69,0,4,0,12,0,7,0,5,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,Storage,69,0,4,0,12,0,7,0,5,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,DatabaseConfig,161,0,6,0,36,0,12,0,9,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,JmsDestination,69,0,4,0,12,0,7,0,5,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,OcflPropsConfig,343,0,12,0,97,0,52,0,46,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,MetricsConfig,68,0,4,0,16,0,6,0,4,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,FlywayFactory,52,0,4,0,13,0,8,0,6,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,MetricsConfig.new MeterFilter() {...},35,0,2,0,7,0,3,0,2,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,AuthPropsConfig,34,0,0,0,12,0,11,0,11,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,MetricsConfig.new PrometheusConfig() {...},11,0,0,0,3,0,3,0,3,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,ConditionOnPropertyFalse,9,0,0,0,2,0,1,0,1,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,ConditionOnPropertyTrue,9,0,0,0,2,0,1,0,1,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,ConditionOnProperty,44,0,0,0,10,0,4,0,4,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,FedoraPropsConfig,190,0,6,0,59,0,40,0,37,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,DigestAlgorithm,211,0,6,0,26,0,14,0,11,0
Fedora Repository OCFL Persistence Impl/fcrepo-configs,org.fcrepo.config,BasePropsConfig,11,0,0,0,4,0,2,0,2,0
Fedora Repository OCFL Persistence Impl/fcrepo-common,org.fcrepo.common.db,DbPlatform,113,0,4,0,20,0,7,0,5,0
Fedora Repository OCFL Persistence Impl/fcrepo-common,org.fcrepo.common.db,DbTransactionExecutor,82,0,8,0,27,0,13,0,9,0
Fedora Repository OCFL Persistence Impl/fcrepo-common,org.fcrepo.common.metrics,MetricsHelper,11,0,0,0,3,0,1,0,1,0
Fedora Repository OCFL Persistence Impl/fcrepo-search-api,org.fcrepo.search.api,PaginationInfo,36,0,0,0,11,0,5,0,5,0
Fedora Repository OCFL Persistence Impl/fcrepo-search-api,org.fcrepo.search.api,Condition.Operator,99,0,4,0,14,0,6,0,4,0
Fedora Repository OCFL Persistence Impl/fcrepo-search-api,org.fcrepo.search.api,Condition,73,0,2,0,18,0,9,0,8,0
Fedora Repository OCFL Persistence Impl/fcrepo-search-api,org.fcrepo.search.api,Condition.Field,97,0,4,0,12,0,5,0,3,0
Fedora Repository OCFL Persistence Impl/fcrepo-search-api,org.fcrepo.search.api,SearchParameters,93,0,0,0,25,0,9,0,9,0
Fedora Repository OCFL Persistence Impl/fcrepo-search-api,org.fcrepo.search.api,SearchResult,26,0,0,0,9,0,4,0,4,0
Fedora Repository OCFL Persistence Impl/fcrepo-search-api,org.fcrepo.search.api,InvalidConditionExpressionException,4,0,0,0,2,0,1,0,1,0
Fedora Repository OCFL Persistence Impl/fcrepo-search-api,org.fcrepo.search.api,InvalidQueryException,4,0,0,0,2,0,1,0,1,0
