GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fcrepo-kernel,org.fcrepo.rdf,SerializationUtils,3,69,0,4,1,21,1,6,1,4
fcrepo-kernel,org.fcrepo.rdf,GraphProperties,0,4,0,0,0,1,0,1,0,1
fcrepo-kernel,org.fcrepo.services.functions,CacheLocalTransform,11,47,1,1,0,11,1,4,0,4
fcrepo-kernel,org.fcrepo.services.functions,CheckCacheEntryFixity,16,42,0,0,6,12,1,5,1,5
fcrepo-kernel,org.fcrepo.services.functions,GetBinaryKey,5,14,1,1,2,3,1,2,0,2
fcrepo-kernel,org.fcrepo.services.functions,GetCacheStore,1,17,1,1,0,3,1,2,0,2
fcrepo-kernel,org.fcrepo.services.functions,GetClusterConfiguration,21,104,4,6,6,22,4,4,0,3
fcrepo-kernel,org.modeshape.jcr,GetBinaryStore,26,11,6,2,6,1,4,3,1,2
fcrepo-kernel,org.fcrepo.exception,InvalidChecksumException,0,4,0,0,0,2,0,1,0,1
fcrepo-kernel,org.fcrepo.exception,TransactionMissingException,0,4,0,0,0,2,0,1,0,1
fcrepo-kernel,org.fcrepo.identifiers,UUIDPathMinter,11,59,0,0,2,10,1,3,1,3
fcrepo-kernel,org.fcrepo.identifiers,BasePidMinter.new Function() {...},10,0,0,0,2,0,2,0,2,0
fcrepo-kernel,org.fcrepo.identifiers,UUIDPidMinter,6,26,0,0,0,5,0,3,0,3
fcrepo-kernel,org.fcrepo.identifiers,BasePidMinter,5,3,0,0,1,1,1,1,1,1
fcrepo-kernel,org.fcrepo.utils.impl,LocalBinaryStoreEntry,6,117,4,10,1,17,4,11,1,7
fcrepo-kernel,org.fcrepo.utils.impl,CacheStoreEntry,66,154,16,10,12,23,16,7,3,7
fcrepo-kernel,org.fcrepo.utils.impl,ChainingCacheStoreEntry,91,0,10,0,23,0,10,0,5,0
fcrepo-kernel,org.fcrepo.services,DatastreamService.new Predicate() {...},0,19,0,0,0,2,0,2,0,2
fcrepo-kernel,org.fcrepo.services,LowLevelStorageService.Unroll,28,6,2,0,7,3,2,1,1,1
fcrepo-kernel,org.fcrepo.services,LowLevelStorageService.ExternalIdDecorator,0,18,0,0,0,6,0,2,0,2
fcrepo-kernel,org.fcrepo.services,LowLevelStorageService,136,264,11,21,35,67,10,23,1,16
fcrepo-kernel,org.fcrepo.services,NodeService,43,66,7,3,9,16,7,6,3,5
fcrepo-kernel,org.fcrepo.services,RepositoryService.new Function() {...},6,11,0,0,3,2,0,2,0,2
fcrepo-kernel,org.fcrepo.services,TransactionService,5,131,0,10,0,34,0,13,0,8
fcrepo-kernel,org.fcrepo.services,DatastreamService,39,243,3,5,7,51,4,13,1,12
fcrepo-kernel,org.fcrepo.services,LowLevelStorageService.Echo,0,5,0,0,0,2,0,2,0,2
fcrepo-kernel,org.fcrepo.services,ServiceHelpers,114,26,11,3,20,7,13,2,7,1
fcrepo-kernel,org.fcrepo.services,ObjectService,0,30,0,0,0,6,0,5,0,5
fcrepo-kernel,org.fcrepo.services,RepositoryService,34,190,2,2,9,39,3,9,1,9
fcrepo-kernel,org.fcrepo.observer,DefaultFilter,8,30,1,3,4,7,2,4,1,3
fcrepo-kernel,org.fcrepo.observer,SimpleObserver,0,82,0,2,0,15,0,5,0,4
fcrepo-kernel,org.fcrepo.observer,NOOPFilter,0,5,0,0,0,2,0,2,0,2
fcrepo-kernel,org.fcrepo.observer,FedoraEvent,0,41,0,2,0,11,0,9,0,8
fcrepo-kernel,org.fcrepo,Datastream,69,280,4,20,17,57,4,24,0,16
fcrepo-kernel,org.fcrepo,TxAwareSession,0,67,0,8,0,12,0,7,0,3
fcrepo-kernel,org.fcrepo,Transaction,13,84,1,5,3,29,2,11,1,9
fcrepo-kernel,org.fcrepo,RdfLexicon,3,146,0,0,2,48,1,1,1,1
fcrepo-kernel,org.fcrepo,FedoraObject,24,59,1,3,4,14,2,7,1,6
fcrepo-kernel,org.fcrepo,FedoraResource,36,208,5,9,12,47,8,20,3,18
fcrepo-kernel,org.fcrepo,Transaction.State,9,49,0,0,0,2,2,2,2,2
fcrepo-kernel,org.fcrepo.spring,ModeShapeRepositoryFactoryBean,7,34,1,1,1,10,1,7,0,7
fcrepo-kernel,org.fcrepo.utils,FixityResult.FixityState,5,53,0,0,0,2,1,3,1,3
fcrepo-kernel,org.fcrepo.utils,EventIterator,0,20,0,0,0,8,0,5,0,5
fcrepo-kernel,org.fcrepo.utils,EventType,33,116,4,12,4,18,5,15,1,5
fcrepo-kernel,org.fcrepo.utils,FixityResult,23,115,1,11,8,20,5,15,4,10
fcrepo-kernel,org.fcrepo.utils,FixityInputStream,0,13,0,0,0,3,0,2,0,2
fcrepo-kernel,org.fcrepo.utils,NodeIterator,11,10,0,0,4,4,3,2,3,2
fcrepo-kernel,org.fcrepo.utils,NamespaceTools,3,14,0,0,1,3,1,3,1,3
